id,status,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
530,a,5.0,2.4,5.0,5,0,8164,5007,1.0,1.0,1.6,1.6,5,0,8,8164,5007,0,1.1,0.12,1.22,2.03,3.4,20.8,35.0,5.9
531,a,6.5,1.9,1.0,1,0,1543,12574,0.2,0.2,2.3,2.3,1,0,3,1543,12574,0,0.0,0.0,0.0,0.27,3.4,1.4,0.0,0.5
532,a,4.5,0.6,0.0,0,0,828,4169,0.0,0.0,1.9,1.9,0,0,0,828,4169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,a,5.0,0.0,0.0,0,0,28,164,0.0,0.0,1.6,1.6,0,0,0,28,164,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,a,6.0,1.0,1.0,1,0,3449,8805,0.2,0.2,2.2,2.2,1,0,9,3449,8805,0,0.0,0.17,0.17,0.27,8.2,29.4,6.0,4.4
588,a,5.0,0.1,2.0,2,0,310,356,0.4,0.4,1.6,1.6,2,0,15,310,356,0,0.02,0.03,0.05,1.96,5.6,1.9,1.0,0.9
589,a,7.0,4.1,1.0,1,0,11522,32479,0.1,0.1,2.2,2.2,1,0,2,11522,32479,0,0.0,0.0,0.0,0.27,1.2,0.4,0.0,0.2
591,a,4.5,0.5,1.0,1,0,981,1870,0.2,0.2,1.9,1.9,1,0,2,981,1870,0,0.0,0.0,0.0,0.07,3.0,0.0,0.0,0.3
533,a,4.5,2.4,1.0,1,0,5672,6402,0.2,0.2,1.9,0.9,1,0,6,5672,6402,0,0.02,0.02,0.04,1.24,9.0,3.5,1.0,1.4
534,a,5.0,0.1,0.0,0,0,243,522,0.0,0.0,1.6,0.6,0,0,0,243,522,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,a,5.0,0.0,1.0,1,0,250,220,0.2,0.2,1.6,0.6,1,0,2,250,220,0,0.07,0.0,0.07,0.99,0.0,1.3,1.0,0.0
536,a,4.0,2.2,0.0,0,0,2462,2218,0.0,0.0,1.0,0.0,0,0,0,2462,2218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,a,4.5,0.2,1.0,1,0,2123,959,0.2,0.2,1.0,0.0,1,0,4,2123,959,0,0.0,0.05,0.05,0.0,3.0,14.3,2.0,1.9
538,a,4.5,0.1,0.0,0,0,420,506,0.0,0.0,1.0,0.0,0,0,0,420,506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,i,4.5,0.1,0.0,0,0,207,1002,0.0,0.0,0.0,0.0,0,0,0,207,1002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,a,4.5,0.1,0.0,0,0,818,742,0.0,0.0,1.0,0.0,0,0,0,818,742,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,a,6.5,2.1,1.0,1,0,4447,16001,0.2,0.2,2.1,1.1,1,0,9,4447,16001,0,0.06,0.02,0.08,0.25,13.8,16.2,17.0,4.7
542,a,4.5,0.2,1.0,1,0,181,707,0.2,0.2,1.9,0.9,1,0,2,181,707,0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.2
543,a,4.5,0.2,1.0,1,0,383,641,0.2,0.2,1.9,0.9,1,0,7,383,641,0,0.08,0.01,0.09,1.24,12.2,2.7,9.0,2.4
544,a,5.0,0.0,0.0,0,0,48,267,0.0,0.0,1.6,0.6,0,0,0,48,267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,a,5.0,0.3,0.0,0,0,1675,2434,0.0,0.0,1.4,0.4,0,0,0,1675,2434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,a,4.5,5.9,0.0,0,0,20656,18178,0.0,0.0,1.0,0.0,0,0,0,20656,18178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,i,4.5,0.0,0.0,0,0,105,362,0.0,0.0,0.0,0.0,0,0,0,105,362,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,a,5.5,0.1,0.0,0,0,190,751,0.0,0.0,2.0,1.0,0,0,0,190,751,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,a,6.5,0.9,2.0,2,0,1652,4775,0.3,0.3,2.3,1.3,2,0,14,1652,4775,0,0.0,0.11,0.11,1.24,6.0,16.3,4.0,2.6
